================ Training Loss (Wed Apr 15 03:14:54 2026) ================
(epoch: 1, iters: 1344, time: 0.046, data: 8.699) G_GAN: 0.695 G_L1: 14.346 D_content: 0.692 D_style: 1.005 
(epoch: 1, iters: 2688, time: 0.023, data: 0.001) G_GAN: 0.831 G_L1: 14.513 D_content: 0.940 D_style: 0.851 
(epoch: 2, iters: 1344, time: 0.029, data: 8.828) G_GAN: 1.260 G_L1: 9.822 D_content: 1.014 D_style: 0.817 
(epoch: 2, iters: 2688, time: 0.034, data: 0.001) G_GAN: 0.674 G_L1: 12.175 D_content: 0.503 D_style: 0.963 
(epoch: 3, iters: 1344, time: 0.030, data: 12.366) G_GAN: 0.177 G_L1: 12.703 D_content: 1.309 D_style: 1.067 
(epoch: 3, iters: 2688, time: 0.028, data: 0.001) G_GAN: 0.828 G_L1: 10.631 D_content: 0.748 D_style: 0.644 
(epoch: 4, iters: 1344, time: 0.047, data: 10.723) G_GAN: 0.353 G_L1: 9.394 D_content: 0.897 D_style: 0.999 
(epoch: 4, iters: 2688, time: 0.026, data: 0.001) G_GAN: 0.557 G_L1: 13.531 D_content: 0.526 D_style: 0.993 
(epoch: 5, iters: 1344, time: 0.045, data: 9.470) G_GAN: -0.175 G_L1: 13.298 D_content: 0.650 D_style: 1.043 
(epoch: 5, iters: 2688, time: 0.028, data: 0.002) G_GAN: 0.411 G_L1: 6.843 D_content: 1.009 D_style: 0.982 
(epoch: 6, iters: 1344, time: 0.044, data: 9.830) G_GAN: 0.404 G_L1: 10.435 D_content: 0.878 D_style: 0.758 
(epoch: 6, iters: 2688, time: 0.028, data: 0.002) G_GAN: 0.970 G_L1: 7.457 D_content: 1.024 D_style: 0.892 
(epoch: 7, iters: 1344, time: 0.032, data: 9.163) G_GAN: 0.126 G_L1: 9.521 D_content: 0.878 D_style: 0.984 
(epoch: 7, iters: 2688, time: 0.034, data: 0.001) G_GAN: 0.245 G_L1: 13.904 D_content: 1.010 D_style: 0.881 
(epoch: 8, iters: 1344, time: 0.046, data: 9.586) G_GAN: -0.164 G_L1: 11.497 D_content: 0.820 D_style: 0.849 
(epoch: 8, iters: 2688, time: 0.028, data: 0.001) G_GAN: 1.133 G_L1: 7.231 D_content: 0.664 D_style: 0.986 
(epoch: 9, iters: 1344, time: 0.034, data: 9.654) G_GAN: 0.316 G_L1: 9.058 D_content: 0.987 D_style: 0.803 
(epoch: 9, iters: 2688, time: 0.025, data: 0.002) G_GAN: 0.783 G_L1: 8.736 D_content: 0.728 D_style: 0.984 
(epoch: 10, iters: 1344, time: 0.034, data: 9.608) G_GAN: 0.657 G_L1: 8.614 D_content: 1.103 D_style: 0.872 
(epoch: 10, iters: 2688, time: 0.032, data: 0.001) G_GAN: 0.882 G_L1: 7.601 D_content: 1.069 D_style: 0.773 
(epoch: 11, iters: 1344, time: 0.034, data: 9.596) G_GAN: 0.653 G_L1: 10.825 D_content: 0.721 D_style: 0.773 
(epoch: 11, iters: 2688, time: 0.027, data: 0.001) G_GAN: 0.415 G_L1: 7.934 D_content: 0.777 D_style: 0.809 
(epoch: 12, iters: 1344, time: 0.037, data: 9.698) G_GAN: 1.217 G_L1: 12.097 D_content: 0.577 D_style: 0.593 
(epoch: 12, iters: 2688, time: 0.028, data: 0.000) G_GAN: 0.466 G_L1: 8.785 D_content: 0.558 D_style: 0.924 
(epoch: 13, iters: 1344, time: 0.037, data: 9.561) G_GAN: 1.241 G_L1: 11.661 D_content: 0.508 D_style: 0.642 
(epoch: 13, iters: 2688, time: 0.028, data: 0.000) G_GAN: 0.892 G_L1: 11.881 D_content: 0.648 D_style: 0.547 
(epoch: 14, iters: 1344, time: 0.028, data: 9.509) G_GAN: -0.010 G_L1: 7.762 D_content: 0.864 D_style: 0.664 
(epoch: 14, iters: 2688, time: 0.032, data: 0.000) G_GAN: 1.219 G_L1: 8.248 D_content: 0.430 D_style: 0.572 
(epoch: 15, iters: 1344, time: 0.034, data: 9.600) G_GAN: -0.179 G_L1: 4.467 D_content: 0.883 D_style: 0.925 
(epoch: 15, iters: 2688, time: 0.029, data: 0.001) G_GAN: 0.928 G_L1: 7.034 D_content: 1.142 D_style: 0.913 
(epoch: 16, iters: 1344, time: 0.060, data: 9.563) G_GAN: 0.835 G_L1: 7.128 D_content: 0.903 D_style: 0.950 
(epoch: 16, iters: 2688, time: 0.050, data: 0.001) G_GAN: 0.647 G_L1: 7.198 D_content: 0.959 D_style: 0.835 
(epoch: 17, iters: 1344, time: 0.041, data: 10.051) G_GAN: 0.331 G_L1: 6.845 D_content: 0.749 D_style: 0.470 
(epoch: 17, iters: 2688, time: 0.034, data: 0.001) G_GAN: -0.096 G_L1: 7.701 D_content: 0.808 D_style: 1.141 
(epoch: 18, iters: 1344, time: 0.045, data: 10.032) G_GAN: -0.112 G_L1: 5.937 D_content: 0.995 D_style: 0.740 
(epoch: 18, iters: 2688, time: 0.044, data: 0.001) G_GAN: 0.014 G_L1: 7.366 D_content: 1.028 D_style: 0.891 
(epoch: 19, iters: 1344, time: 0.045, data: 10.345) G_GAN: 0.150 G_L1: 4.897 D_content: 0.724 D_style: 0.825 
(epoch: 19, iters: 2688, time: 0.026, data: 0.000) G_GAN: 1.017 G_L1: 5.593 D_content: 1.180 D_style: 0.643 
(epoch: 20, iters: 1344, time: 0.040, data: 10.427) G_GAN: 1.333 G_L1: 6.483 D_content: 0.504 D_style: 0.786 
(epoch: 20, iters: 2688, time: 0.046, data: 0.000) G_GAN: 0.477 G_L1: 6.765 D_content: 0.753 D_style: 0.818 
